service_id,sunday,monday,tuesday,wednesday,thursday,friday,saturday,start_date,end_date
35420343,1,1,1,1,1,0,0,20160524,20160524
35420344,0,0,0,0,1,0,0,20160526,20160526
35420345,1,1,1,1,1,0,0,20160529,20160723
35420346,0,0,0,0,0,1,0,20160529,20160723
35420347,0,0,0,1,0,0,0,20160525,20160525
35420348,0,0,0,1,0,0,0,20160525,20160525
35420349,0,0,0,0,0,1,0,20160527,20160528
35420350,1,1,1,1,1,0,0,20160524,20160524
35420351,0,0,0,0,1,0,0,20160526,20160526
35420352,1,1,1,1,1,0,0,20160527,20160530
35420353,0,0,0,0,0,1,0,20160527,20160530
35420354,0,0,1,1,0,0,0,20160531,20160601
35420355,0,0,0,0,1,0,0,20160602,20160602
35420356,1,1,1,1,1,0,0,20160603,20160723
35420357,0,0,0,0,0,1,0,20160603,20160723
35420358,1,1,1,1,1,0,0,20160603,20160723
35420359,0,0,0,0,0,1,0,20160603,20160723
35420360,1,1,1,1,1,0,0,20160524,20160524
35420361,0,0,0,1,0,0,0,20160525,20160525
35420362,1,1,1,1,1,0,0,20160527,20160530
35420363,0,0,0,0,0,1,0,20160527,20160530
35420364,1,1,1,1,1,0,0,20160524,20160524
35420365,0,0,0,1,0,0,0,20160525,20160525
35420366,0,0,0,0,1,0,0,20160526,20160526
35420367,1,1,1,1,1,0,0,20160527,20160530
35420368,0,0,0,0,0,1,0,20160527,20160530
35420369,0,0,1,1,0,0,0,20160531,20160601
35420370,0,0,0,0,1,0,0,20160602,20160602
35420371,0,0,0,0,1,0,0,20160526,20160526
35385556,1,1,1,1,1,0,0,20160524,20160723
35420373,0,0,0,0,1,0,0,20160602,20160602
35420374,1,1,1,1,1,0,0,20160603,20160723
35420375,0,0,0,0,0,1,0,20160603,20160723
35420372,0,0,1,1,0,0,0,20160531,20160601
35385557,0,0,0,0,0,1,0,20160524,20160723
35420376,1,1,1,1,1,0,0,20160524,20160723
35420377,1,1,1,1,1,0,0,20160524,20160723
35417194,1,1,1,1,1,0,0,20160524,20160723
35417195,0,0,0,0,0,1,0,20160524,20160723
35420275,1,1,1,1,1,0,0,20160524,20160723
35420276,0,0,0,0,0,0,1,20160524,20160723
35420278,1,1,1,1,1,0,0,20160524,20160723
35420279,0,0,0,0,0,0,1,20160524,20160723
